id,name,picture_url,neighbourhood_cleansed,latitude,longitude,room_type,price,number_of_reviews,review_scores_rating
7.82E+17,Private Double Room Mins To Central w Elizabeth L.,https://a0.muscache.com/pictures/prohost-api/Hosting-781863212258110423/original/4117afc2-b6b7-44c9-97ae-1588397b52d5.jpeg,Ealing,51.50898,-0.34784,Private room,32,5,4
7.82E+17,Double Room near Belvedere train,https://a0.muscache.com/pictures/miso/Hosting-781914386775832262/original/2f07c2c0-5c31-4058-90fc-83db1d6e2df4.jpeg,Bexley,51.48799819,0.153455443,Private room,40,7,4.57
7.80E+17,"London Room with City Skyline views, Brixton",https://a0.muscache.com/pictures/miso/Hosting-780396469512521467/original/94eaf568-385e-4503-848d-00ae7f905c05.jpeg,Lambeth,51.46719,-0.11497,Private room,110,7,5
7.80E+17,Architectural Sanctuary,https://a0.muscache.com/pictures/miso/Hosting-780403306068332772/original/2f539de9-024c-4193-8f0e-2e226eb04bf8.jpeg,Hackney,51.55513078,-0.079142488,Private room,93,17,4.94
7.82E+17,"Room with a private shower in Hackney, East London",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzgxOTQ2MjQ4MzIzMDA0MTc4/original/96436b0e-2fd2-40f0-93ab-201e5fc6de4a.jpeg,Tower Hamlets,51.53981,-0.02274,Private room,85,36,4.97
7.82E+17,Уютная Комната в аренду в центре Лондона,https://a0.muscache.com/pictures/airflow/Hosting-781997691837253275/original/d860b23d-68b4-4803-910e-6ca1570f6585.jpg,Southwark,51.46066,-0.0604,Private room,45,12,5
7.82E+17,1 bedroom flat,https://a0.muscache.com/pictures/005ea1df-95d6-4c0d-8b91-f69f7b502dbc.jpg,Islington,51.5565557,-0.1170272,Entire home/apt,115,45,4.96
7.82E+17,Private Double Room Mins To Central w Elizabeth L.,https://a0.muscache.com/pictures/prohost-api/Hosting-782024126936292864/original/3523c1eb-f520-4ab5-8260-36ccc586fe7d.jpeg,Ealing,51.50797,-0.34746,Private room,43,8,4.63
7.82E+17,En-suite room in central London,https://a0.muscache.com/pictures/6a551173-a552-4831-8f2b-f6462b0c3d8b.jpg,Camden,51.54547455,-0.195035487,Private room,90,2,5
7.82E+17,Ground Floor Small & Stylish Studio,https://a0.muscache.com/pictures/prohost-api/Hosting-782353038182262414/original/f72ba410-aa10-4f08-b5ac-02ad7e073358.jpeg,Westminster,51.51236,-0.1919,Entire home/apt,89,1,4
7.81E+17,Cosy double Bedroom,https://a0.muscache.com/pictures/bffd034e-5804-4714-884b-4374017104a0.jpg,Brent,51.53477,-0.24552,Private room,50,36,4.94
7.81E+17,Cosy flat in East London,https://a0.muscache.com/pictures/miso/Hosting-780528828156527498/original/1fc96a56-ab21-4490-aad5-e7188de29499.jpeg,Tower Hamlets,51.51837,-0.03767,Entire home/apt,109,7,4.71
7.81E+17,Beautiful Central London studio flat,https://a0.muscache.com/pictures/57e1b7b4-2ef4-40b2-b531-da8be8ce1146.jpg,Hammersmith and Fulham,51.471482,-0.205727,Entire home/apt,88,29,4.86
7.82E+17,Nice studio in South Kensington -First floor,https://a0.muscache.com/pictures/miso/Hosting-782366211269618751/original/b77383bd-1dfe-458c-b291-dbb370027307.jpeg,Kensington and Chelsea,51.48995691,-0.174534189,Entire home/apt,126,8,4.75
7.82E+17,Lower Ground Studio by Hyde Park,https://a0.muscache.com/pictures/prohost-api/Hosting-782366793219020531/original/781a11d2-01c1-422a-8884-ab78e4dc0ca8.jpeg,Westminster,51.5124,-0.19407,Entire home/apt,90,1,5
7.82E+17,Private room with ensuite in Balham,https://a0.muscache.com/pictures/c23dd903-d8e9-4504-bc9e-2dd269a43aa3.jpg,Wandsworth,51.44083197,-0.156561667,Private room,71,82,4.98
7.81E+17,Ballspond Basecamp - N1 / E8 - one bedroom,https://a0.muscache.com/pictures/miso/Hosting-780673156993703857/original/d088721f-c8cb-43c8-9de3-b844623eb6a6.jpeg,Islington,51.54621,-0.08482,Private room,59,1,5
